epoch,map,mar
1,0.13378208875656128,0.27232471108436584
2,0.46034055948257446,0.5483394861221313
3,0.4728489816188812,0.578228771686554
4,0.5653691291809082,0.6431734561920166
5,0.602864146232605,0.6656826734542847
6,0.5801407694816589,0.6490774750709534
7,0.6497104167938232,0.7095940709114075
8,0.6210983395576477,0.6889299154281616
9,0.6375014781951904,0.7110701203346252
10,0.6129533648490906,0.6926199197769165
11,0.6598579287528992,0.7169741988182068
12,0.644999623298645,0.7158671617507935
13,0.6889917850494385,0.7413284182548523
14,0.6558125019073486,0.7261992692947388
15,0.6555401086807251,0.7383763790130615
16,0.6751973032951355,0.7339483499526978
17,0.6924920082092285,0.7568265795707703
18,0.6907610893249512,0.7549815773963928
19,0.7006893754005432,0.761254608631134
20,0.7039541602134705,0.7645756602287292
21,0.705989420413971,0.7630996108055115
22,0.7136602997779846,0.7701107263565063
23,0.7089498043060303,0.7682656645774841
24,0.7015219330787659,0.7649446725845337
25,0.7114388942718506,0.7671586871147156
26,0.7115494608879089,0.7697417140007019
27,0.7111653089523315,0.7697417140007019
28,0.7108306884765625,0.7667896747589111
29,0.7094682455062866,0.7667896747589111
30,0.7113257646560669,0.7682656645774841
